Timestamp,Date,Ethereum,Arbitrum,Optimism,zkSync Era,Kava,Kava,BSC,Avalanche,Polygon,Fantom,Osmosis,Solana,Axelar,Gnosis,Taiko,Stride,Injective,Rootstock,Polygon zkEVM,Mode,Moonbeam,Cronos,Kujira,Celo,Metis,Secret,Merlin,Terra Classic,Aurora,Arbitrum Nova,X Layer,Bitlayer,Evmos,Juno,BSquared,Canto,Astar,ShimmerEVM,Sifchain,Boba,KCC,Moonriver,Zkfair,XDC,Klaytn,Bitcoin,Telos,Wanchain,ThunderCore,Fuse
1687348800,2023-06-21,-83712,-1099319,-2154076,-8293118,0,0,-141237,-6611919,7784138,7352,0,0,0,-589426,0,0,0,0,-218745,0,0,0,0,0,0,0,0,0,-19873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687435200,2023-06-22,24370862,-15460980,1211350,-7738250,0,0,428994,-6457442,-2612761,3535,0,0,0,-7839,0,0,0,0,-1267100,0,0,0,0,0,0,0,0,0,924977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687521600,2023-06-23,-1559107,-36593,-2268562,-1035148,0,0,960212,9847870,4324292,2930,0,0,0,-490852,0,0,0,0,3761,0,0,0,0,0,0,0,0,0,85090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687608000,2023-06-24,17910893,-20609833,-901051,-331531,0,0,653156,1606557,2101058,-7827,0,0,0,786819,0,0,0,0,-69757,0,0,0,0,0,0,0,0,0,-1826227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687694400,2023-06-25,20253614,-16761037,182876,-2873590,0,0,-969815,189871,1337312,-139866,0,0,0,-204523,0,0,0,0,-396523,0,0,0,0,0,0,0,0,0,7299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687780800,2023-06-26,-1394410,6642454,7710222,-7933960,0,0,1420442,-5571110,-6879233,148353,0,0,0,296537,0,0,0,0,520389,0,0,0,0,0,0,0,0,0,92566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687867200,2023-06-27,-84731215,30258141,53704419,-13370942,0,0,-820439,2856520,12750012,0,0,0,0,-26595,0,0,0,0,-136358,0,0,0,0,0,0,0,0,0,451481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912799,,0,,,
1687953600,2023-06-28,-3321890,4394726,-1110655,-14150997,0,0,-3865207,-1304500,13735781,0,0,0,0,-566601,0,0,0,0,2829091,0,0,0,0,0,0,0,0,0,267403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204108,,0,,,
1688040000,2023-06-29,1024159,9010348,-10604643,-12493458,0,0,-1121693,276167,10412813,636770,0,0,0,554094,0,0,0,0,-23070,0,0,0,0,0,0,0,0,0,455818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688126400,2023-06-30,-2138612,33970756,-11920686,-9187645,0,0,-2068585,-2547762,-12836507,461663,0,0,0,20697,0,0,0,0,112768,0,0,0,0,0,0,0,0,0,171825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688212800,2023-07-01,11229508,-8400439,-2509181,-9995203,0,0,-1047227,3912834,1248429,381669,0,0,0,52104,0,0,0,0,-29536,0,0,0,0,0,0,0,0,0,111932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688299200,2023-07-02,29476927,-18559249,-5143414,-13596146,0,0,1288863,9170503,1334122,365643,0,0,0,-39604,0,0,0,0,-143959,0,0,0,0,0,0,0,0,0,21337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688385600,2023-07-03,5934067,4375963,-36166,-6177794,0,0,-3114765,1162948,414074,604508,0,0,0,58054,0,0,0,0,-7251771,0,0,0,0,0,0,0,0,0,26717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688472000,2023-07-04,-7869401,3616076,1502249,-6097731,0,0,-589553,-1902423,4957380,95887,0,0,0,610701,0,0,0,0,-326727,0,0,0,0,0,0,0,0,0,-253234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688558400,2023-07-05,-27189251,-3382011,10502404,11417063,0,0,1017726,3518286,5563511,-193083,0,0,0,-14859,0,0,0,0,74751,0,0,0,0,0,0,0,0,0,240811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688644800,2023-07-06,-164503902,19329148,-1624729,16675034,0,0,-385675,1924813,-8819396,7502586,0,0,0,-125347,0,0,0,0,-372059,0,0,0,0,0,0,0,0,0,122613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688731200,2023-07-07,-60405381,37479192,165178,14088812,0,0,2559192,-658435,3457878,535063,0,0,0,-1391742,0,0,0,0,-434133,0,0,0,0,0,0,0,0,0,-139867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
